Name,Age,BloodGroup,loc_ngo,loc_hosp,phnum,ID
Gilda Lancaster,26,B+,ngo0126,,(505)386-5306,rc0000
Burt Garrison,30,A-,ngo0114,,(850)654-8333,rc0001
Queen Teague,16,A+,,hosp0035,(786)561-1206,rc0002
Dewey Villagomez,30,AB+,ngo0125,,(925)419-4394,rc0003
Ellsworth Raymond,72,A-,ngo0073,,(615)948-1222,rc0004
Tara Moseley,34,B+,ngo0063,,(813)695-4896,rc0005
Rubye Heim,84,B-,,hosp0074,(770)362-1728,rc0006
Mariana Oaks,69,O-,ngo0121,,(571)279-5844,rc0007
Eliza Gatewood,88,B+,ngo0083,,(662)451-7967,rc0008
Daniela Pellegrino,82,AB-,,hosp0186,(501)381-5619,rc0009
Lakisha Culpepper,98,AB-,ngo0069,,(283)967-5962,rc0010
Donovan Driscoll,71,O-,ngo0010,,(835)825-6239,rc0011
Cruz Nowak,99,B+,ngo0053,,(253)922-6714,rc0012
Joyce Mcclure,11,O-,ngo0125,,(601)383-2732,rc0013
Vonda Casteel,78,O-,,hosp0053,(339)790-7624,rc0014
Mack Shelley,54,AB+,ngo0022,,(608)790-9708,rc0015
Darcy Kendrick,18,A+,,hosp0113,(323)182-9816,rc0016
Bernard Lefebvre,90,O-,ngo0106,,(612)652-3802,rc0017
Jasmine Gerber,57,B+,ngo0053,,(813)728-9040,rc0018
Charlie Milne,66,AB+,ngo0121,,(835)662-5278,rc0019
Traci Sturgill,57,AB+,,hosp0188,(270)185-3213,rc0020
Pauline Labbe,92,B+,ngo0131,,(505)832-8946,rc0021
Rocco Fitzsimmons,31,B+,,hosp0097,(984)698-2731,rc0022
Shiela Pierce,66,A-,ngo0019,,(757)316-6507,rc0023
Stacey Temple,88,O-,,hosp0158,(570)337-7941,rc0024
Daren Dotson,1,B+,ngo0089,,(608)671-1840,rc0025
Taylor Haley,67,O+,ngo0032,,(270)627-3941,rc0026
Deann Romano,37,A+,,hosp0208,(253)682-9163,rc0027
Nathanial Landis,70,A+,,hosp0061,(812)242-1912,rc0028
Arline Crumpton,23,B+,ngo0037,,(423)248-5298,rc0029
Hung Schmitt,22,B-,ngo0111,,(417)428-1282,rc0030
Gaston Reddick,44,O+,,hosp0096,(719)836-4513,rc0031
Aida Valdez,39,A-,ngo0134,,(202)732-5450,rc0032
Shameka Snodgrass,41,A+,,hosp0210,(559)262-9980,rc0033
Raphael Mckeon,80,A-,,hosp0043,(715)180-4286,rc0034
Berta Whitlow,32,O+,,hosp0105,(248)514-8914,rc0035
Jody Mccauley,36,AB-,ngo0059,,(740)809-8107,rc0036
Roseann Thao,71,A-,ngo0128,,(214)887-7285,rc0037
Benton Samuels,12,O+,,hosp0189,(234)522-3187,rc0038
Karin Baughman,24,O-,,hosp0047,(260)356-5547,rc0039
Ava Leonard,90,AB-,ngo0035,,(620)489-6335,rc0040
Lee Aguilar,92,A+,ngo0129,,(859)314-3455,rc0041
Bobbie Bledsoe,55,AB-,,hosp0071,(860)942-8512,rc0042
Lloyd Carder,39,B+,ngo0005,,(224)543-4255,rc0043
Marva Whitmore,67,AB-,ngo0007,,(228)603-8387,rc0044
Santa Herrmann,96,A-,,hosp0040,(605)632-8733,rc0045
Hans Munson,32,AB+,,hosp0193,(415)175-8037,rc0046
Garth Leroy,85,A+,ngo0055,,(580)934-2940,rc0047
Sunny Pak,62,AB-,,hosp0094,(424)571-4840,rc0048
Napoleon Burgos,51,B+,ngo0069,,(765)768-6006,rc0049
Trey Hudson,27,AB-,,hosp0017,(928)769-3923,rc0050
Kesha Murrell,47,AB+,,hosp0097,(574)298-7600,rc0051
Arnulfo Juarez,57,AB+,,hosp0047,(440)643-1435,rc0052
Dolly Lewis,64,AB+,ngo0031,,(570)798-4385,rc0053
Amalia Baer,95,A+,ngo0012,,(717)434-9594,rc0054
Bridgette Mercado,78,AB-,ngo0060,,(504)582-6223,rc0055
Freida Longo,16,AB+,,hosp0052,(810)805-6294,rc0056
Deshawn Castro,89,B+,ngo0028,,(936)628-2939,rc0057
Pamela Vanburen,5,O+,,hosp0019,(513)142-3153,rc0058
Jesse Jordan,15,A-,ngo0125,,(412)533-5752,rc0059
Armando Autry,48,B-,,hosp0185,(435)390-9171,rc0060
Horace Florence,11,AB-,ngo0038,,(412)822-8854,rc0061
Maria Livingston,83,B+,,hosp0117,(804)853-4074,rc0062
Elisa Santoro,57,A+,ngo0042,,(872)195-3931,rc0063
Erasmo Barham,2,B+,,hosp0073,(870)620-8585,rc0064
Tawana Eller,71,O+,ngo0121,,(660)850-3488,rc0065
Chong Rauch,3,B-,ngo0004,,(702)274-9716,rc0066
Sid Battle,43,A+,,hosp0016,(445)933-5103,rc0067
Carolyn Amato,15,AB-,,hosp0103,(219)529-6374,rc0068
Buford Register,49,B-,,hosp0086,(573)768-8019,rc0069
Rico Plunkett,43,AB+,ngo0081,,(662)888-6542,rc0070
Cary Cummings,23,A+,,hosp0069,(518)495-4506,rc0071
Chasity Rubin,14,A+,,hosp0179,(870)384-6727,rc0072
Irwin Roberts,1,A-,ngo0004,,(405)647-1373,rc0073
Freddie Chambers,40,AB-,,hosp0119,(915)373-3879,rc0074
Eugenio Randle,90,B-,,hosp0120,(505)474-4368,rc0075
Theda Aguirre,92,B-,,hosp0171,(971)480-6863,rc0076
Elvin Snipes,93,A-,ngo0060,,(207)540-9178,rc0077
Geraldine Moyer,24,B-,ngo0084,,(952)458-4111,rc0078
Shelly Baber,85,A+,ngo0123,,(304)491-6280,rc0079
Jeromy Ligon,40,O-,ngo0063,,(541)547-5026,rc0080
Velma Nugent,78,A-,,hosp0194,(541)437-6431,rc0081
Wilhelmina Baumann,56,B+,,hosp0029,(224)869-2222,rc0082
Lindsey Horowitz,50,O-,,hosp0142,(208)111-5714,rc0083
Mark Rupert,48,B+,ngo0048,,(870)677-9760,rc0084
Nettie Barksdale,79,A+,,hosp0208,(417)608-4847,rc0085
Ernestina Dennison,65,A+,,hosp0035,(573)871-8453,rc0086
Tera Coffey,18,O-,ngo0002,,(320)418-1217,rc0087
Darleen Anders,5,AB+,,hosp0016,(310)990-7666,rc0088
Trena Funk,43,B+,ngo0130,,(605)957-6011,rc0089
Amalia Bettencourt,83,B+,,hosp0072,(424)198-7498,rc0090
William Nielsen,87,A-,ngo0070,,(203)792-8766,rc0091
Brittney Ayala,62,B-,,hosp0131,(315)284-4175,rc0092
Rubye Hobbs,56,B-,ngo0064,,(801)515-3338,rc0093
Rob Graff,93,AB-,,hosp0047,(320)628-3317,rc0094
Eleanore Villalobos,80,B-,,hosp0208,(760)360-1638,rc0095
Grady Tapp,65,B-,ngo0039,,(864)388-3363,rc0096
Beverley Kirkwood,69,B+,,hosp0136,(801)954-9936,rc0097
Jocelyn Araujo,26,O+,,hosp0097,(304)225-8058,rc0098
Janell Dobbs,11,O+,ngo0001,,(916)886-9678,rc0099
Jeffry Chatman,31,AB+,,hosp0121,(509)128-9054,rc0100
Wilhelmina Samples,6,A+,ngo0075,,(520)198-2771,rc0101
Ralph Oquendo,88,O+,,hosp0084,(605)759-6655,rc0102
Marlys Rossi,75,O+,ngo0064,,(980)636-4903,rc0103
Gale Landers,53,A+,ngo0126,,(409)345-7200,rc0104
Sterling Mcmaster,75,A-,ngo0097,,(918)180-9427,rc0105
Chanda Pender,16,O-,,hosp0205,(253)583-1874,rc0106
Gregorio Picard,58,B+,ngo0131,,(878)811-9053,rc0107
Osvaldo Denman,43,A+,,hosp0012,(252)804-9197,rc0108
Prince Longo,13,A+,ngo0094,,(208)524-6002,rc0109
Aileen Pack,64,A+,ngo0052,,(817)255-9910,rc0110
Velma Obrien,47,B-,ngo0106,,(319)927-3872,rc0111
Malik Wooley,65,O-,ngo0052,,(440)796-6314,rc0112
Martha Huber,15,A-,ngo0034,,(252)492-2471,rc0113
Jaime Desantis,48,O+,,hosp0175,(352)532-6268,rc0114
Edmond Burchfield,77,AB-,ngo0071,,(913)228-3327,rc0115
Toni Farnsworth,26,AB+,,hosp0038,(910)595-2906,rc0116
Renae Mchugh,99,O+,,hosp0024,(715)284-4672,rc0117
Courtney Vickers,44,A-,,hosp0185,(202)906-5548,rc0118
Manual Paredes,68,A+,ngo0104,,(502)257-5626,rc0119
Aileen Tomlin,73,O+,ngo0072,,(205)512-5144,rc0120
Floy Weis,47,AB+,ngo0023,,(775)857-2118,rc0121
Ione Chadwick,52,B-,ngo0072,,(501)493-7004,rc0122
Jerald Stauffer,47,B+,,hosp0113,(410)876-8215,rc0123
Lana Griggs,99,B-,,hosp0037,(620)638-4894,rc0124
Hipolito Monson,94,AB-,,hosp0155,(405)792-3561,rc0125
Lucila Purvis,15,A-,,hosp0129,(916)841-1284,rc0126
Jacklyn Bartlett,91,AB-,ngo0114,,(808)368-5066,rc0127
Harrison Carbajal,73,B+,,hosp0173,(662)111-4821,rc0128
Gerry Begley,96,A-,ngo0024,,(304)997-9367,rc0129
Bradly Albrecht,60,A+,ngo0070,,(701)219-4806,rc0130
Staci Johnson,49,O-,ngo0103,,(617)442-1409,rc0131
Josef Blanchard,60,AB-,,hosp0065,(330)365-6177,rc0132
Alberta Ethridge,78,A-,,hosp0061,(347)365-8559,rc0133
Gilberto Latham,36,O+,,hosp0102,(407)297-7711,rc0134
Donnie Wetzel,70,O+,,hosp0008,(775)486-7243,rc0135
Alfonso Mcadams,44,A+,ngo0068,,(408)741-7628,rc0136
Carla Price,6,B-,,hosp0114,(662)987-1333,rc0137
Asia Null,11,B+,,hosp0202,(505)743-3425,rc0138
Santos Smithson,17,B+,ngo0048,,(847)837-3775,rc0139
Adrianne Soper,79,AB-,,hosp0054,(337)526-3610,rc0140
Neville Hartman,0,O-,ngo0094,,(605)678-4000,rc0141
Caryn Seiler,19,B-,,hosp0126,(464)922-1205,rc0142
Vance Greer,20,AB-,ngo0110,,(864)917-8793,rc0143
Yvonne Ross,32,B-,,hosp0144,(765)553-8897,rc0144
Parker Stott,31,A+,,hosp0016,(209)879-2882,rc0145
Imelda Espino,10,A-,ngo0098,,(605)958-7514,rc0146
Freddy Breedlove,83,O-,,hosp0122,(314)597-1766,rc0147
Hugo Scroggins,45,A+,ngo0128,,(309)590-3070,rc0148
Rogelio Mcclanahan,79,O-,,hosp0028,(906)288-8355,rc0149
Ina Henning,92,B+,,hosp0100,(856)774-7775,rc0150
Deon Crockett,21,A+,,hosp0058,(641)726-1204,rc0151
Marshall Lattimore,44,AB-,,hosp0129,(530)836-5415,rc0152
Alfonso Barnard,59,O-,ngo0035,,(218)958-6956,rc0153
Coy Barnhill,20,A+,,hosp0030,(563)787-9389,rc0154
Terry Cousins,17,A-,,hosp0047,(636)114-9788,rc0155
Erica Stafford,39,A-,,hosp0092,(831)214-6247,rc0156
Germaine Spriggs,3,AB+,,hosp0175,(207)147-8760,rc0157
Patrica Nealy,7,O+,ngo0018,,(610)446-2256,rc0158
Lela Post,36,A+,ngo0112,,(717)605-3005,rc0159
Isabel Carroll,33,AB+,ngo0132,,(501)303-3546,rc0160
Danilo Singleton,34,B-,ngo0115,,(775)793-6032,rc0161
Elinor Weeks,27,B-,ngo0106,,(423)386-5532,rc0162
Daniel Yang,36,A-,,hosp0079,(775)568-6414,rc0163
Leslie Apple,33,AB+,,hosp0115,(434)768-2026,rc0164
Perry Wells,32,A-,ngo0088,,(208)889-9957,rc0165
Eli Bordelon,45,A-,,hosp0108,(701)274-6765,rc0166
Reta Regalado,32,AB-,,hosp0128,(262)309-5476,rc0167
Vesta Green,14,A-,ngo0008,,(314)865-6688,rc0168
Benjamin Loftis,59,B-,,hosp0189,(505)178-2778,rc0169
Nigel Smothers,58,AB-,ngo0094,,(251)541-4916,rc0170
Rex Roberge,67,A+,ngo0104,,(860)944-5680,rc0171
Adan Whiting,23,AB-,ngo0099,,(620)400-7239,rc0172
Erik Hazel,87,AB+,ngo0101,,(314)130-1423,rc0173
Rodrigo Addison,30,B-,,hosp0183,(619)485-1864,rc0174
Lyle Baylor,96,B-,ngo0083,,(509)340-1675,rc0175
Rosalee Hoke,68,AB+,,hosp0179,(214)161-7282,rc0176
Manuel Adkins,80,A+,,hosp0123,(832)766-1352,rc0177
Robbie Aaron,74,B+,,hosp0110,(973)280-2934,rc0178
Penelope Groves,66,A+,,hosp0072,(701)376-9904,rc0179
Jospeh Loveless,22,B+,,hosp0090,(631)749-1637,rc0180
Alfonzo Maes,34,A-,,hosp0179,(984)412-6880,rc0181
Gerri Hubert,54,O+,ngo0019,,(443)728-8704,rc0182
Jay Shifflett,34,AB-,ngo0113,,(256)356-6596,rc0183
Randal Newcomb,72,B-,,hosp0034,(757)937-7614,rc0184
Georgiana Kang,23,B-,,hosp0057,(845)518-8402,rc0185
Angel Phillips,33,A-,,hosp0140,(843)503-6684,rc0186
Leslie Coleman,78,AB-,,hosp0158,(434)209-5118,rc0187
Tyson Wakefield,87,AB+,,hosp0053,(283)953-5805,rc0188
Willie Hanes,30,B-,ngo0114,,(201)786-9093,rc0189
Ken Armstrong,23,A+,,hosp0182,(310)762-7764,rc0190
Salvador Royer,71,B+,,hosp0140,(205)447-8322,rc0191
Edgardo Melvin,71,AB-,ngo0086,,(617)169-3865,rc0192
Jeremiah Lusk,96,B-,,hosp0087,(541)173-9551,rc0193
Lester Pauley,6,AB+,,hosp0021,(918)653-3505,rc0194
Gene Langford,54,B+,ngo0121,,(859)902-7725,rc0195
Kisha Lau,83,A+,ngo0007,,(602)748-3518,rc0196
Whitney Calhoun,3,AB+,,hosp0065,(253)986-5667,rc0197
Israel Velasco,51,A+,,hosp0057,(919)573-6865,rc0198
Domenic Alford,54,O-,ngo0051,,(563)879-2112,rc0199
Jarred Lovelace,72,A+,ngo0008,,(502)332-1459,rc0200
Maurice Martel,67,AB+,,hosp0093,(260)369-3102,rc0201
Dorcas Reinhardt,63,A+,,hosp0103,(269)934-2046,rc0202
Kim Durden,27,A-,ngo0132,,(848)813-4557,rc0203
Arron Larson,39,B-,,hosp0058,(731)793-5257,rc0204
Maudie Moe,12,B-,,hosp0070,(731)877-6693,rc0205
Andy Gold,27,O+,ngo0071,,(914)481-6920,rc0206
Mohammad Saxon,16,B+,,hosp0169,(970)910-4236,rc0207
Nelson Poulin,31,AB+,ngo0121,,(207)150-5292,rc0208
Francesco Travers,37,B-,,hosp0125,(406)833-9197,rc0209
Arron Sturgill,27,A+,,hosp0017,(434)956-2763,rc0210
Stacey Burkholder,92,B-,,hosp0102,(775)673-1566,rc0211
Janel Carper,77,A-,,hosp0174,(757)654-3222,rc0212
Barrett Holloway,13,A-,,hosp0141,(479)261-5141,rc0213
Giuseppe Lindquist,36,O+,,hosp0104,(636)537-4191,rc0214
Clarice Salas,86,O+,ngo0133,,(928)343-4688,rc0215
Leif Lake,6,AB+,,hosp0133,(517)952-6794,rc0216
Faith Loving,37,A+,ngo0073,,(612)475-2481,rc0217
Terrell Alderman,80,AB-,ngo0039,,(409)933-5061,rc0218
Edwardo Eller,48,A+,,hosp0127,(445)318-7329,rc0219
Deann Story,6,AB+,,hosp0142,(228)757-8868,rc0220
Sergio Roth,89,O-,ngo0123,,(619)911-7268,rc0221
Stan Dodge,47,B+,ngo0073,,(260)494-8437,rc0222
Jimmie Gilson,58,A-,ngo0010,,(516)989-9730,rc0223
Charlie Zeller,22,O-,ngo0099,,(434)217-4412,rc0224
Loraine Manley,63,B-,ngo0061,,(207)759-7215,rc0225
Abe Winchester,63,AB+,ngo0088,,(515)947-9837,rc0226
Brendon Billings,10,A+,ngo0060,,(818)378-5695,rc0227
Bernie Street,60,AB-,,hosp0003,(252)842-6932,rc0228
Cordell Menard,14,A-,,hosp0076,(307)220-9919,rc0229
Jesse Richard,81,B+,ngo0073,,(445)242-9063,rc0230
Carlton Lawrence,9,A-,,hosp0121,(802)402-5290,rc0231
Chance Meek,23,B+,,hosp0124,(580)797-5395,rc0232
Lillian Ramey,30,A+,ngo0120,,(804)764-8624,rc0233
Jules Holden,72,B+,ngo0071,,(424)624-3458,rc0234
Mac Sweet,96,A-,ngo0012,,(207)862-3701,rc0235
Thurman Ratcliff,66,B-,,hosp0031,(605)449-2620,rc0236
Allen Whittaker,91,O+,,hosp0136,(812)319-3480,rc0237
Hilton Durbin,26,AB+,,hosp0181,(425)164-9186,rc0238
Raymundo Lucas,61,AB-,ngo0031,,(276)249-9879,rc0239
Reina Lightfoot,83,A+,ngo0017,,(601)831-3709,rc0240
Rodrigo Carr,25,A+,,hosp0077,(706)404-2093,rc0241
Marge North,18,A-,ngo0003,,(605)815-7657,rc0242
Rigoberto Hales,46,A+,,hosp0058,(276)529-3143,rc0243
Colleen Bourgeois,69,AB+,,hosp0200,(412)462-5415,rc0244
Darrel Paulson,9,A-,ngo0117,,(719)259-2370,rc0245
Gayle Ricker,92,O+,ngo0079,,(919)987-3867,rc0246
Monte Baumgartner,24,AB+,ngo0031,,(501)503-7161,rc0247
Marcelina Huffman,75,O+,ngo0027,,(737)863-6291,rc0248
Scottie Gillette,43,AB-,,hosp0116,(216)718-4956,rc0249
Josephine Glasgow,11,B-,,hosp0006,(212)661-5250,rc0250
Coy Riddell,50,AB-,ngo0068,,(904)503-7324,rc0251
Selma Pina,70,O-,ngo0077,,(909)809-9895,rc0252
Sheri Simpson,47,O+,,hosp0022,(835)390-2437,rc0253
Eulalia Easley,13,B-,ngo0097,,(445)821-5622,rc0254
Keshia Holliday,36,B-,ngo0082,,(509)988-4321,rc0255
Osvaldo Vanhorn,19,O+,,hosp0032,(908)434-7798,rc0256
Janna Banner,84,B+,ngo0064,,(910)445-6812,rc0257
Linda Phillip,7,B-,ngo0029,,(732)405-7028,rc0258
Donnell Fredrickson,3,B+,,hosp0093,(864)421-2035,rc0259
Scarlett Rey,11,B+,ngo0130,,(414)618-8702,rc0260
Truman Hogg,33,AB+,,hosp0023,(304)996-6150,rc0261
Laurie Holcombe,52,B+,ngo0110,,(949)639-3606,rc0262
Reynaldo Paradis,1,B-,,hosp0161,(913)706-6003,rc0263
Bernie Brinkman,92,AB-,ngo0032,,(248)511-4136,rc0264
Elwood Mccants,34,AB+,,hosp0005,(401)899-3163,rc0265
Stanford Galbraith,12,O-,ngo0009,,(412)508-9154,rc0266
Therese Caballero,84,B-,,hosp0030,(507)632-8073,rc0267
Raul Southard,55,B-,,hosp0013,(760)301-7944,rc0268
Katy Ruff,27,O-,,hosp0190,(975)879-4116,rc0269
Ruby Blackman,64,B+,ngo0102,,(351)901-1981,rc0270
Cherie Pearson,23,AB-,ngo0118,,(973)538-3680,rc0271
Jules Eskridge,82,AB+,,hosp0015,(214)382-7013,rc0272
Ana Banuelos,68,A+,,hosp0027,(283)261-9324,rc0273
Ashleigh Erwin,97,A-,,hosp0142,(309)549-5720,rc0274
Graham Nguyen,86,AB-,,hosp0016,(502)708-1722,rc0275
Lottie Cortes,50,AB-,ngo0076,,(267)756-9364,rc0276
Marisol Easter,11,A+,,hosp0097,(309)978-1804,rc0277
Cecil Hawkins,79,B+,,hosp0211,(312)937-3888,rc0278
Santo Pinkston,25,AB-,,hosp0136,(828)530-8649,rc0279
Nathanial Neil,38,O+,,hosp0143,(510)605-5226,rc0280
Jackie Richey,56,AB+,ngo0127,,(814)479-5863,rc0281
Jessie Thorton,73,AB+,ngo0090,,(835)451-6908,rc0282
Diana Dodson,59,A-,ngo0097,,(406)798-7613,rc0283
Lidia Downs,81,B-,ngo0110,,(319)687-9618,rc0284
Jamey Batten,84,AB-,ngo0050,,(503)614-4809,rc0285
Florencio Skinner,49,B-,,hosp0103,(440)198-8367,rc0286
Amie Cyr,14,AB-,ngo0075,,(207)384-5522,rc0287
Dewey Lavender,19,B+,,hosp0041,(835)862-7401,rc0288
Jerri Fannin,40,AB-,,hosp0142,(518)613-9834,rc0289
Leanne Heller,20,O+,,hosp0196,(760)996-1871,rc0290
Tana Sledge,96,A+,,hosp0169,(916)290-4456,rc0291
Jerome Banks,22,B+,ngo0048,,(703)444-5189,rc0292
Jenny Butcher,33,AB-,,hosp0051,(708)963-1345,rc0293
Luciano Rayburn,22,B-,,hosp0027,(975)925-2886,rc0294
Tony Button,70,A-,ngo0034,,(303)174-1215,rc0295
Franklin Blackmon,17,AB+,,hosp0108,(316)155-9008,rc0296
Denice Torrez,27,O+,,hosp0202,(314)654-5237,rc0297
Nikita Hay,10,O+,ngo0076,,(239)687-4715,rc0298
Lonnie Keyser,60,A+,ngo0055,,(605)139-1416,rc0299
Cleveland Nagle,98,AB-,ngo0025,,(304)188-9695,rc0300
Leif Somers,79,O+,,hosp0102,(563)983-8890,rc0301
Joni Dial,27,AB+,ngo0060,,(479)598-5381,rc0302
Tyron Laflamme,96,B-,,hosp0014,(304)353-5445,rc0303
Dorian Abel,58,A-,ngo0020,,(414)212-5278,rc0304
Norberto Christmas,70,O-,,hosp0019,(843)713-8280,rc0305
Jerome Glaze,53,AB-,,hosp0021,(315)193-8600,rc0306
Howard Shelton,16,B+,,hosp0136,(424)664-1918,rc0307
Julio Dew,65,O-,,hosp0073,(917)602-9922,rc0308
Kenya Edward,37,B-,,hosp0117,(772)680-4898,rc0309
Elva Echols,18,B+,ngo0108,,(620)267-4193,rc0310
Simon Cockrell,25,B-,ngo0047,,(517)497-5045,rc0311
Royce Pino,17,O-,ngo0089,,(518)693-9646,rc0312
Danial Skipper,91,A-,,hosp0172,(228)615-9041,rc0313
Ashlee Ramirez,1,A-,ngo0122,,(228)431-5370,rc0314
Tim Packard,15,O+,ngo0010,,(956)921-6333,rc0315
Raymon Billings,55,AB-,,hosp0050,(240)915-2834,rc0316
Tracey Bunnell,22,B-,,hosp0109,(503)289-4359,rc0317
Val Whiteside,85,B-,ngo0034,,(936)721-6468,rc0318
Justine Weber,30,B+,ngo0052,,(313)790-1948,rc0319
Joaquin Faison,64,O-,ngo0120,,(203)465-3140,rc0320
Malinda Clevenger,82,A+,ngo0127,,(808)915-4776,rc0321
Danny Nevarez,45,AB+,ngo0009,,(860)553-9485,rc0322
Tania Mckenna,54,B+,,hosp0113,(775)416-3012,rc0323
Gabriella Cash,62,B-,ngo0130,,(620)708-7336,rc0324
Robbin Carlos,92,B-,ngo0039,,(208)888-6854,rc0325
Rodolfo Mcclelland,77,A-,ngo0023,,(620)217-9520,rc0326
Lettie Noonan,12,B-,,hosp0045,(848)913-6468,rc0327
Jarred Westbrook,90,A+,ngo0023,,(707)331-6409,rc0328
Fidel Mcmullin,36,AB-,ngo0049,,(269)322-3458,rc0329
Victor Dietrich,34,A+,ngo0084,,(806)824-4980,rc0330
Shaun Lyman,40,B-,ngo0127,,(318)542-8775,rc0331
Valencia Gillen,51,O-,ngo0083,,(720)432-9955,rc0332
Rogelio Higdon,15,B-,ngo0114,,(202)878-9521,rc0333
Lena Shepherd,4,A+,ngo0040,,(217)370-3964,rc0334
Kathryn Hetrick,25,O+,,hosp0184,(217)975-2502,rc0335
Josette Rowan,24,O+,,hosp0209,(980)530-1111,rc0336
Pierre Kimble,91,A+,ngo0104,,(334)887-2830,rc0337
Regina Leahy,76,AB-,ngo0041,,(775)930-9006,rc0338
Anibal Contreras,58,B+,,hosp0143,(316)111-8280,rc0339
Vilma Grove,94,O+,,hosp0170,(505)589-8349,rc0340
Morris Cabrera,25,O-,ngo0095,,(605)162-3445,rc0341
Royce Aaron,66,AB+,ngo0074,,(419)147-1981,rc0342
Missy Nestor,31,B+,ngo0050,,(754)425-6558,rc0343
Gene Ragsdale,3,A-,ngo0135,,(347)120-4777,rc0344
Margarito Zepeda,54,O+,,hosp0133,(573)808-1688,rc0345
Jerome Castro,6,A-,ngo0123,,(904)199-2607,rc0346
Caleb Samuel,64,O+,,hosp0065,(806)654-3397,rc0347
Herman Dunne,17,A-,ngo0033,,(319)286-3663,rc0348
Lenora Weddle,64,B-,ngo0071,,(712)767-5000,rc0349
Letitia Trapp,79,AB+,ngo0008,,(573)941-7503,rc0350
Lyndon Abraham,56,O-,,hosp0131,(605)387-9072,rc0351
Garth Goins,62,O-,ngo0130,,(816)631-4441,rc0352
Alberto Newcomb,63,AB+,ngo0002,,(201)237-8000,rc0353
Tyrone Calvert,58,O+,ngo0038,,(614)608-9548,rc0354
Harry Sells,35,A+,ngo0083,,(361)580-9174,rc0355
Gail Bradbury,13,B-,ngo0045,,(317)536-7291,rc0356
